Class,Precision,Recall,F1-Score,Support
yes,0.8947368421052632,0.68,0.7727272727272727,25
no,0.8461538461538461,0.9565217391304348,0.8979591836734694,23
stop,0.8571428571428571,0.8888888888888888,0.8727272727272727,27
go,0.8518518518518519,0.92,0.8846153846153846,25
